Model,feature,coefficient
OLS,Overall Qual,0.2990754324216943
OLS,Gr Liv Area,0.21968092389375954
OLS,Kitchen Qual,0.15887547824648215
OLS,Total Bsmt SF,0.020106324282042592
OLS,Garage Cars,0.14773572958046166
OLS,1st Flr SF,0.1438473975001924
OLS,Garage Area,-0.06087400822943125
OLS,Year Built,0.12624189258761026
OLS,Full Bath,-0.021110012457357424
OLS,TotRms AbvGrd,0.05007400330822873
OLS,Fireplaces,0.07963742341015122
OLS,Bsmt Full Bath,0.09822168988232165
OLS,Neighborhood_frequency,-0.03745949222223512
OLS,Sale Condition_frequency,-0.00907536193737293
OLS,Overall Cond,0.07226288607527169
Ridge(L2),Overall Qual,0.2934392500922952
Ridge(L2),Gr Liv Area,0.21027223187551303
Ridge(L2),Kitchen Qual,0.16035832088088467
Ridge(L2),Total Bsmt SF,0.022046491307750538
Ridge(L2),Garage Cars,0.14276320208533796
Ridge(L2),1st Flr SF,0.14384854522827759
Ridge(L2),Garage Area,-0.054395128565732496
Ridge(L2),Year Built,0.12466739463195463
Ridge(L2),Full Bath,-0.014456166909643964
Ridge(L2),TotRms AbvGrd,0.05499979359922725
Ridge(L2),Fireplaces,0.08139088128845397
Ridge(L2),Bsmt Full Bath,0.09779552877045583
Ridge(L2),Neighborhood_frequency,-0.03801239397878141
Ridge(L2),Sale Condition_frequency,-0.009160184297364952
Ridge(L2),Overall Cond,0.0699857993242881
Lasso(L1),Overall Qual,0.30013320933087145
Lasso(L1),Gr Liv Area,0.21784740212122286
Lasso(L1),Kitchen Qual,0.15892516481560498
Lasso(L1),Total Bsmt SF,0.019566643802893923
Lasso(L1),Garage Cars,0.14413230046142136
Lasso(L1),1st Flr SF,0.1435521905130579
Lasso(L1),Garage Area,-0.05701014178775093
Lasso(L1),Year Built,0.12366375897696882
Lasso(L1),Full Bath,-0.0169904726560703
Lasso(L1),TotRms AbvGrd,0.0492811630456757
Lasso(L1),Fireplaces,0.07933824756338753
Lasso(L1),Bsmt Full Bath,0.0981913789727174
Lasso(L1),Neighborhood_frequency,-0.036583645756497155
Lasso(L1),Sale Condition_frequency,-0.008300583412407388
Lasso(L1),Overall Cond,0.07020901055120922
ElasticNet,Overall Qual,0.29718494734468826
ElasticNet,Gr Liv Area,0.21297804595530048
ElasticNet,Kitchen Qual,0.15970879570439236
ElasticNet,Total Bsmt SF,0.020574144340542524
ElasticNet,Garage Cars,0.14168134537306323
ElasticNet,1st Flr SF,0.1435758187871509
ElasticNet,Garage Area,-0.05377551147442609
ElasticNet,Year Built,0.12293464671194303
ElasticNet,Full Bath,-0.0136506508463802
ElasticNet,TotRms AbvGrd,0.051888339273232574
ElasticNet,Fireplaces,0.08025539223339373
ElasticNet,Bsmt Full Bath,0.0979627319042058
ElasticNet,Neighborhood_frequency,-0.03688530358705831
ElasticNet,Sale Condition_frequency,-0.00834281365458344
ElasticNet,Overall Cond,0.06909279686398473
