Model,RMSE,MAE,R2,Type
D: Deep+Sigmoid,21614.07245291826,14774.01171875,0.9420346021652222,NN
E: Deep+Dropout0.3,21931.262799939268,14668.3701171875,0.9403207898139954,NN
C: Deep [256-128-64],22234.815942570785,14965.064453125,0.938657283782959,NN
A: Shallow [64],22323.72513717189,15429.8876953125,0.9381657242774963,NN
B: Medium [128-64],22650.686523812034,15196.484375,0.9363411664962769,NN
F: Deep+L2,23377.82744396921,15153.255859375,0.9321883916854858,NN
OLS,38680.753825956235,24673.87599917812,0.8143539638925479,Linear
Ridge,38699.6831866942,24662.123968514472,0.8141722186932387,Linear
Lasso,38712.736673877465,24672.810951120966,0.8140468373227034,Linear
ElasticNet,38712.736673877465,24672.810951120966,0.8140468373227034,Linear
