Model,RMSE,MAE,NRMSE%,MAPE%,R2,Type
E: Deep+Dropout0.3,20933.988089068207,14475.537715976963,11.43830376454898,8.291443790799892,0.9456249376794049,NN
B: Medium [128-64],21777.24333934386,14745.864727762375,11.899057332510573,8.293582410270982,0.9411560754180935,NN
C: Deep [256-128-64],21977.146298483305,15013.774117427474,12.008284048430186,8.757013796653071,0.9400708082240322,NN
A: Shallow [64],22523.706958505114,15181.431593963307,12.306924079583471,8.466061913827561,0.9370529243141587,NN
F: Deep+L2,22602.44261586924,15179.031289995733,12.349945139985365,8.555956442524831,0.9366120695295186,NN
D: Deep+Sigmoid,25727.511327684013,15893.607808500426,14.057478604642847,8.643081541673915,0.917871975127734,NN
OLS,28264.516788207373,17916.802367795564,15.443695076454997,9.539328300988528,0.9008759695272209,Linear
Ridge,28292.310737970747,17922.491498038693,15.458881654323363,9.540776572858402,0.9006809261847747,Linear
Lasso,28384.78544587352,17910.272798662347,15.509409714004557,9.527955283095228,0.9000306072760215,Linear
ElasticNet,28384.78544587352,17910.272798662347,15.509409714004557,9.527955283095228,0.9000306072760215,Linear
