feature,coefficient,selected
Overall Qual,23179.146028263243,保留
Gr Liv Area,16830.580626058785,保留
Kitchen Qual,12274.919615756731,保留
Garage Cars,11141.210302039994,保留
1st Flr SF,11088.35664742807,保留
Year Built,9557.748570276768,保留
Bsmt Full Bath,7584.15855762575,保留
Fireplaces,6128.615787260183,保留
Overall Cond,5427.7658334437665,保留
Garage Area,-4412.728216229414,保留
TotRms AbvGrd,3808.2517507316943,保留
Neighborhood_frequency,-2827.757983996618,保留
Total Bsmt SF,1512.590457766602,保留
Full Bath,-1322.3554319528407,保留
Sale Condition_frequency,-642.9973186469239,保留
